kernel_size1,kernel_size2,cnn_internal,cnn_out,hidden_size,num_layers,dropout,learning_rate,weight_decay,batch_size,accuracy,precision,recall,f1,c11,c12,c21,c22,val_loss,train_loss,config_num,method
11,9,128,128,256,2,0.5,0.001,0.001,32,0.9436860068259386,0.9607142857142856,0.9243986254295532,0.9422066549912436,0.4846416382252559,0.0187713310580204,0.0375426621160409,0.4590443686006826,"[0.3294885524294593, 0.3545392805879766, 0.3248966205300707, 0.34604460723472363, 0.3198915160063541, 0.3181491309043133, 0.30864694624236133, 0.31035850580894586, 0.3253365642193592, 0.389829518217029, 0.3159587320053216, 0.28520775789564307, 0.15678731194048218, 0.20718988821362005, 0.3235535689375617, 0.2760904264269453, 0.2675723031614766, 0.2574427791617133, 0.2554232572967356, 0.25369464493159094, 0.2523897976586313, 0.25219926012284827]","[0.40876195749098604, 0.34137314642694866, 0.37366038244782074, 0.35447425598447974, 0.358748133661169, 0.3522505353797566, 0.3539069914682345, 0.3483230204067447, 0.34602898991469183, 0.3473205261609771, 0.34653021000099904, 0.3327848572058208, 0.2731834066410859, 0.30411349332919624, 0.3558235809094075, 0.33339546767599654, 0.3076266002361522, 0.30336655845696275, 0.29884827086193994, 0.29789657123161084, 0.29632134295322676, 0.29375669986686925]",6,grid_search
11,9,128,128,256,2,0.5,0.01,0.001,128,0.8668941979522184,0.8402555910543131,0.9037800687285223,0.8708609271523179,0.4180887372013652,0.0853242320819112,0.0477815699658703,0.4488054607508532,"[0.33199746741188896, 0.34188973903656006, 0.32304990622732377, 0.35299166705873275, 0.3371716969543033, 0.3274085687266456, 0.32281893822881913, 0.32255713807211983, 0.3788950542608897, 0.31701412465837264, 0.32196011477046543, 0.31794038746092057, 0.3394194311565823, 0.324122902419832, 0.31314242548412746, 0.32236694627337986, 0.31142270896169877, 0.3113726278146108, 0.31047553486294216, 0.30768800775210065, 0.3084550102551778, 0.3030193977885776, 0.2999616165955861, 0.3059750199317932, 0.3038225869337718, 0.303811843196551, 0.31448763608932495, 0.30048655139075386, 0.29986879891819423, 0.30037593510415816, 0.2997958262761434, 0.299853566620085, 0.2994520200623406, 0.29969924688339233, 0.29849392506811356, 0.2984878851307763, 0.2986582616964976, 0.2976439297199249, 0.29797503021028304, 0.2951241582632065, 0.3021393054061466, 0.29686256249745685, 0.29526622427834404, 0.2976386778884464, 0.29681801464822555, 0.2962196966012319, 0.2962484061717987, 0.2964072393046485, 0.2963152395354377]","[0.5066987267046263, 0.3866387858535304, 0.3667795658111572, 0.40121675711689575, 0.3719239749691703, 0.3808692350532069, 0.3714797957377, 0.37547844738671277, 0.3695759556510232, 0.3703163537112149, 0.36334929592681653, 0.37184190117951593, 0.3762408196926117, 0.37962696678710706, 0.35176559018366266, 0.3498752577738328, 0.3451319725224466, 0.34485563003655634, 0.3419396597327608, 0.34223469459649286, 0.34026338882518536, 0.3399749651099696, 0.3382079772876971, 0.3397814843690757, 0.3395368443294005, 0.33834419015682105, 0.33920760317282245, 0.3370589216550191, 0.33524740329294495, 0.33627670642101404, 0.33462479259028577, 0.33261299991246424, 0.33495462663245923, 0.3323258071234732, 0.33036978091254376, 0.3308634170980165, 0.3325697513240756, 0.33098592902674817, 0.32991510313568695, 0.3304623636332425, 0.3323490366791234, 0.3314147401939739, 0.3310045080654549, 0.32947196834015124, 0.3281206497640321, 0.3285685488671968, 0.32531840512246796, 0.3296750242059881, 0.32611172397931415]",2,grid_search
11,9,128,128,256,2,0.5,0.01,0.0001,128,0.955631399317406,0.9461279461279462,0.9656357388316152,0.95578231292517,0.4761092150170648,0.0273037542662116,0.0170648464163822,0.4795221843003412,"[0.3994417323006524, 0.35510411858558655, 0.3345933192306095, 0.3961769706673092, 0.32876961098776925, 0.3345529105928209, 0.33807600869072807, 0.32538090149561566, 0.3379615876409743, 0.3166536721918318, 0.3374282982614305, 0.44184378782908124, 0.32179562913046944, 0.3148719237910377, 0.35730035106341046, 0.31632212466663784, 0.31954571935865617, 0.293515145778656, 0.2903268237908681, 0.31722981068823075, 0.2805408090353012, 0.3088674048582713, 0.32059555914666915, 0.30994798243045807, 0.2576875686645508, 0.2689816703399022, 0.24522181186411116, 0.20576621923181745, 0.23453102674749163, 0.23382522496912214, 0.22917023632261488, 0.24396310912238228, 0.21993307934867012, 0.19597426884704167, 0.20403594772020975, 0.19008434977796343, 0.17446233994430965, 0.18200659420755175, 0.18224487784836027, 0.16573085304763582, 0.1565327900979254, 0.16733401682641771, 0.12636340575085747, 0.13020906845728555, 0.11604104853338665, 0.15863176766369078, 0.15154316938585705, 0.14030931724442375, 0.12986485328939226, 0.13102451711893082]","[0.5797645178708163, 0.41871000239343353, 0.4005733285889481, 0.391470525300864, 0.3790852996436032, 0.374188322912563, 0.3736899287411661, 0.37424652233268274, 0.36929757215759973, 0.3601217558889678, 0.36893991629282635, 0.36342265073097113, 0.3811597020337076, 0.36656189235773956, 0.37723302299326117, 0.36715972965413873, 0.35644688750758313, 0.37180991425658716, 0.35366528594132624, 0.3524106555815899, 0.3665401375654972, 0.3482072339816527, 0.3387796508543419, 0.3262680917978287, 0.3303340154163765, 0.3070799315517599, 0.30337984543858154, 0.2776761772957715, 0.2942859191786159, 0.28577111435659003, 0.26148922605948016, 0.275897711966977, 0.25044718520207837, 0.23933026013952313, 0.22624116639296213, 0.22209468258149695, 0.20872246541760184, 0.21500434523279016, 0.2013238894216942, 0.1986793406081922, 0.1906333604093754, 0.18298387775818506, 0.16913664453860486, 0.17292025572422778, 0.16647284974654517, 0.18833508455392087, 0.18609740427046112, 0.17158568379553882, 0.15848662794539423, 0.1482992980516318]",5,grid_search
11,9,128,128,256,2,0.5,0.001,0.001,128,0.8856655290102389,0.8612903225806452,0.9175257731958762,0.8885191347753744,0.4300341296928328,0.0733788395904436,0.0409556313993174,0.4556313993174061,"[0.32612015141381157, 0.3209504319561852, 0.2655727979209688, 1.2535039186477661, 0.36623026265038383, 0.3460703690846761, 0.31896356741587323, 0.3154669735166762, 0.31414886977937484, 0.31392977635065716, 0.3125047418806288, 0.3125189012951321]","[0.4801286594434218, 0.35607294512517523, 0.32657770180340967, 0.32576164241993066, 0.5998524084235682, 0.36911070256522205, 0.3618567676255197, 0.3515824783932079, 0.3437130284128767, 0.343440954432343, 0.3441904801310915, 0.3452916280789809]",8,grid_search
11,9,128,128,256,2,0.5,0.01,0.0001,64,0.9061433447098975,0.8959731543624161,0.9175257731958762,0.9066213921901528,0.4505119453924914,0.0529010238907849,0.0409556313993174,0.4556313993174061,"[0.34574097657904906, 0.3935341484406415, 0.3313703466864193, 0.40572218421627493, 0.35671500773990855, 0.34977029877550464, 0.3276560639633852, 0.3567086580921622, 0.37496503836968365, 0.4115585001075969, 0.35623305510072145, 0.3288047243567074, 0.3281894291148466, 0.31587814057574554, 0.33116230894537535, 0.3139325573163874, 0.31036168161560507, 0.3131322492571438, 0.3099242571522208, 0.3003659651559942, 0.2906244800371282, 0.2746744716868681, 0.2656700190375833, 0.28552717321059284, 0.2625059152350706, 0.25156307483420653, 0.25754503555157604, 0.247271807754741, 0.245943719849867, 0.24955462094615488, 0.24848174873520346, 0.27341778401066275, 0.25046870638342467, 0.2412714537452249, 0.24213355078416712, 0.24076870522078345, 0.23615845687249126, 0.23475018757231095, 0.22874441129319809, 0.2344372456564623, 0.23276588846655452, 0.2353842679192038, 0.23002849606906667, 0.23246301535297842, 0.23611395849901087, 0.23565785762141733, 0.23477076782899745, 0.23487763808054082]","[0.48968329258037335, 0.40377631760907895, 0.4024172134020112, 0.39396188701644086, 0.4244942936030301, 0.3982279133616072, 0.39714902142683667, 0.39956978392420395, 0.4102029330802686, 0.40197202134313004, 0.40834689953110437, 0.37879798222671857, 0.3804269613641681, 0.3629254895177754, 0.36130018870938907, 0.35817089089841553, 0.3560364546649384, 0.34678347499081585, 0.3576561122229605, 0.3422446318648078, 0.3342339245207382, 0.3343757442904241, 0.33180745284665714, 0.32100302771185385, 0.31237981332974, 0.3149982349890651, 0.3097843679063248, 0.3055005809574416, 0.29662099864446756, 0.29257294242129184, 0.28714345237522415, 0.2898964594033631, 0.2945083756790017, 0.26930071458672034, 0.2694286279606097, 0.2733288043827722, 0.2675963908885465, 0.2651964098666654, 0.26324085609027836, 0.2548421781623002, 0.2597691019376119, 0.2620106697308295, 0.2512986520023057, 0.25176829957600794, 0.2531846198394443, 0.25408344061085675, 0.25163811354926136, 0.24772820181467317]",4,grid_search
11,9,128,128,256,2,0.5,0.001,0.001,64,0.931740614334471,0.9403508771929824,0.9209621993127148,0.9305555555555556,0.4744027303754266,0.0290102389078498,0.0392491467576791,0.4573378839590443,"[0.33614767824902253, 0.2755876262398327, 0.3833870186525233, 0.3048036764649784, 0.2915336095234927, 0.2562611760462032, 0.3218491989023545, 0.25624562186353345, 0.38716070003369274, 0.24207359289421754, 0.24200340141268337, 0.21133609817308538, 0.3376431009348701, 0.3221700191497803, 0.27100282469216513, 0.33067528289907117, 0.32186150463188395, 0.3202289807445863, 0.31707584419671225, 0.3356828742167529, 0.3320785112240735]","[0.4291005093942989, 0.3218099876786723, 0.4841254963116212, 0.3593112900853157, 0.3411515359625672, 0.31936125434709317, 0.3730425028638406, 0.3288976355935588, 0.381058557241252, 0.35748367034124606, 0.3115875253623182, 0.3179174028337002, 0.33265524380134814, 0.3312869823791764, 0.3224603258299105, 0.37875537845221435, 0.3671823581962874, 0.36250384174513095, 0.3579070477774649, 0.35724497586488724, 0.36930238207181293]",7,grid_search
11,9,128,128,256,2,0.5,0.01,0.001,64,0.9641638225255972,0.972027972027972,0.9553264604810996,0.9636048526863084,0.4897610921501706,0.0136518771331058,0.0221843003412969,0.4744027303754266,"[0.3375759177348193, 0.4051799914416145, 0.3282409231452381, 0.34676702583537383, 0.35659651896532846, 0.32204344167428856, 0.3707699775695801, 0.33178770366836996, 0.327518691034878, 0.34495260259684396, 0.3114462012753767, 0.30922512447132783, 0.30880194902420044, 0.31612308586345, 0.31016552185311036, 0.31178170968504515, 0.3056926516925587, 0.31722333676674785, 0.30870524662382465, 0.3118866901187336, 0.31624368884984183, 0.3063730579965255, 0.3057028668768266, 0.30404143911950726, 0.3030771542997921, 0.30368395938592796, 0.30246588061837587, 0.30122840842779947, 0.30074867956778584, 0.301573461469482, 0.2997073040289037, 0.3004840743892333, 0.2976387011654237, 0.29810622509788065, 0.2943692470298094, 0.2702168945003958, 0.26590318013640013, 0.30574965476989746, 0.3067170171176686, 0.3086969054797116, 0.2970226985566756, 0.29293551515130434, 0.2815840638735715, 0.24007688375080333, 0.1640691687079037, 0.13521329313516617, 0.13700851798057556, 0.12414238075999652, 0.12404693268677768, 0.12634331119411132]","[0.4857147566296838, 0.40416736088015814, 0.39464592956232303, 0.38297497323065094, 0.39664735825675906, 0.3902016169194019, 0.39478763576709863, 0.38427191814689926, 0.3876796335433469, 0.3809195485982028, 0.35770176102717716, 0.3528128124096177, 0.3544098274274306, 0.3477382418332678, 0.3455031846057285, 0.3463874046098102, 0.3415983364437566, 0.3431850001215935, 0.34549875489690085, 0.3451392183249647, 0.3422040036230376, 0.336460847520467, 0.3383468163735939, 0.3382141481746327, 0.3339122678294326, 0.34095943064400647, 0.3373064434889591, 0.332676602583943, 0.3340201892636039, 0.3356771690375877, 0.3329527705456271, 0.33934693851254205, 0.3299669892047391, 0.3328887630592693, 0.33179372413591907, 0.32123132162924967, 0.315925399462382, 0.3207082511349158, 0.33747177774255926, 0.33887380655064725, 0.3332542533224279, 0.3231856021465677, 0.31086205239548825, 0.2853411736361908, 0.2336792494311477, 0.18292151549548813, 0.14489067876429268, 0.14729199428675752, 0.16891126503998583, 0.13996886947389806]",1,grid_search
11,9,128,128,256,2,0.5,0.001,0.0001,32,0.8873720136518771,0.8688524590163934,0.9106529209621992,0.889261744966443,0.4351535836177474,0.068259385665529,0.0443686006825938,0.4522184300341297,"[0.3610143553126942, 0.36125645447861066, 0.3017481348731301, 0.32118946268702997, 0.26123437556353485, 0.38980523745218915, 0.36479585911288404, 0.3242926046703801, 0.3186775116306363, 0.3158514675768939, 0.31468578631227667, 0.31254992430860346, 0.3118715448813005, 0.3112169567382697]","[0.4156554901238644, 0.3610349663279273, 0.3648390687550559, 0.36302989597121876, 0.34324410490014334, 0.3525799945222609, 0.34662777998230676, 0.3522802372321938, 0.36059363468578365, 0.3467908882056222, 0.3418251613550114, 0.3394800690990506, 0.3401377981133533, 0.3394710769255956]",9,grid_search
11,9,128,128,256,2,0.5,0.01,0.0001,32,0.9146757679180888,0.9652509652509652,0.8591065292096219,0.9090909090909092,0.4880546075085324,0.015358361774744,0.0699658703071672,0.4266211604095563,"[0.3538145666772669, 0.3906399941805637, 0.3327731440464656, 0.3943566390962312, 0.4083354346679919, 0.3520491656028863, 0.39190050824121997, 0.33275583386421204, 0.33466867967085406, 0.3247608104438493, 0.32801837903080566, 0.32384067457733734, 0.3264591319091392, 0.32939665696837683, 0.3220918742996274, 0.32676642817078216, 0.3242374590852044, 0.31484944757187006, 0.30938238582827826, 0.3067222422722614, 0.3100742178432869, 0.29260915653272107, 0.2809638638388027, 0.27974498588027374, 0.2573493868112564, 0.24234147550481738, 0.27682253898996295, 0.2414914317654841, 0.23135421402526624, 0.2093062371467099, 0.20098645386822295, 0.19203624885642168, 0.3449269244165132, 0.29233747043392877, 0.2892539528283206, 0.29309719304243725, 0.2813661071387204, 0.27811220514051843, 0.2728995635653987, 0.26807506517930463, 0.26714809374375775]","[0.49881462481888855, 0.4162910327766881, 0.4322561818090352, 0.4318686347793449, 0.4266052684097579, 0.4353834056493008, 0.4415002536367286, 0.4215304981352705, 0.3859859367437435, 0.3803469437089833, 0.38096534822023276, 0.37070848657326266, 0.37151527562827774, 0.373656307318897, 0.36910361345067166, 0.36576668754445785, 0.3637327485238061, 0.35951677371155133, 0.3603881364970496, 0.35217079271872836, 0.3528021607886661, 0.3498392782428048, 0.33864618612058234, 0.33065953241153195, 0.30948919701305305, 0.3065510537249572, 0.31569790490197414, 0.3031940780805819, 0.28287940111124155, 0.2544992519260356, 0.2535399478493315, 0.22924054069726757, 0.23734445754212863, 0.37386142044807924, 0.3473399231831233, 0.3353827674732064, 0.3294512544843284, 0.3256885662787791, 0.31919129994330986, 0.3246969542268551, 0.3122618537621968]",3,grid_search
11,9,128,128,256,2,0.5,0.01,0.001,32,0.9778156996587032,0.976027397260274,0.979381443298969,0.9777015437392796,0.4914675767918088,0.0119453924914675,0.0102389078498293,0.4863481228668942,"[0.3597329981399305, 0.44964118482488574, 0.4170985384420915, 0.3740222688877221, 0.41445871194203693, 0.3286612652467959, 0.31886794034278754, 0.3182016909122467, 0.319694459438324, 0.3181762126359073, 0.3053164423415155, 0.31263774994647864, 0.3088335489684885, 0.31696174813039374, 0.3016482772249164, 0.3022557772470243, 0.3087742238333731, 0.29737345919464575, 0.3099322337092775, 0.32377300524350366, 0.31463656958305475, 0.30896475324125, 0.29685866065097577, 0.2583672341072198, 0.2545492168177258, 0.25187957083637064, 0.26340683301289874, 0.2381284794572628, 0.2293095507405021, 0.1241544389137716, 0.25678838044404984, 0.18525446499838974, 0.16912587957851816, 0.11879546477487593, 0.07426291438892033, 0.06603554878948313, 0.08570192551070993, 0.08750286859206179, 0.10311323237802947, 0.06030971782677101, 0.05967353483323346, 0.06327602539606618, 0.2243987306049376, 0.24711629048441397, 0.17721633364756903, 0.18093261800029062, 0.17585092737819208, 0.17241586044882284, 0.1763194618803082, 0.17049907034996784]","[0.4697422300550071, 0.4610327728318446, 0.446968196693695, 0.43646611578085204, 0.42998924896572577, 0.37484806900223094, 0.36557169744011125, 0.36060793031797267, 0.35920537771149114, 0.3588050879312284, 0.35361795635385945, 0.3533298641894803, 0.3501671717473955, 0.354388019690911, 0.35009541317369, 0.35265970625209087, 0.3494033402565754, 0.35163397296811594, 0.3435785627049027, 0.34778759938975173, 0.349614018856576, 0.35667119378393347, 0.3386956908260331, 0.3215898379231944, 0.3051877773620866, 0.29858311412460875, 0.29892897402698343, 0.28580756045200606, 0.26626137807739503, 0.21179721261741538, 0.20616830165751956, 0.24552956669393813, 0.20978880848622683, 0.15423128244495302, 0.13136824204896888, 0.11294005381536078, 0.09455294207190022, 0.09067646577728516, 0.08363870261801463, 0.08834268774301039, 0.07880906957540322, 0.06587040515715313, 0.27656689040348725, 0.23805380776298768, 0.21717998309230263, 0.19270501807896476, 0.20186055807227438, 0.19006576180232293, 0.1873869194338719, 0.19011073694987732]",0,grid_search
