kernel_size1,kernel_size2,cnn_internal,cnn_out,hidden_size,num_layers,dropout,learning_rate,weight_decay,accuracy,precision,recall,f1,c11,c12,c21,c22,method,config_num,val_loss,train_loss
7,7,64,128,128,1,0.6,0.001,0.0001,0.981159420289855,0.9865470852017936,0.9565217391304348,0.9713024282560706,0.6623188405797101,0.0043478260869565,0.0144927536231884,0.3188405797101449,grid-search,4,"[0.10503679936906944, 0.06742426711552514, 0.06374449922721116, 0.0865323005978448, 0.06872182136449294, 0.04510356675242432, 0.06236291334453899, 0.06459396409440953, 0.05361656308060703, 0.052767581923175245, 0.05126628992282069]","[0.2902433030264403, 0.10275913324662006, 0.0726455956326773, 0.0650039400117844, 0.056378672106802696, 0.052305199469533124, 0.05117457710988865, 0.04500627194216864, 0.043348763389650755, 0.03796742362072492, 0.02707220824040154]"
7,7,64,128,128,2,0.6,0.001,0.0001,0.9840579710144928,0.9866666666666668,0.9652173913043478,0.9758241758241758,0.6623188405797101,0.0043478260869565,0.0115942028985507,0.3217391304347826,grid-search,10,"[0.08475859335456522, 0.06956239513014086, 0.07581038667390552, 0.062036693279738896, 0.08752126723023441, 0.047161387195303224, 0.053237698635665506, 0.061782546107842326, 0.09124971973972443, 0.05724271870619701, 0.050411478196157336]","[0.2699021873995662, 0.09988900789252703, 0.08476205977651836, 0.07120077387241365, 0.06143224755013714, 0.059780777757815054, 0.05505144864592263, 0.05241740449041812, 0.05384753737933735, 0.05191798975106634, 0.03248094109025451]"
7,7,64,128,128,1,0.5,0.001,1e-05,0.9782608695652174,0.986425339366516,0.9478260869565216,0.966740576496674,0.6623188405797101,0.0043478260869565,0.017391304347826,0.3159420289855073,grid-search,2,"[0.12719223767411536, 0.06327105748753709, 0.05760308717174503, 0.06602352175366086, 0.05339016134996946, 0.05921939867757595, 0.04448162751773802, 0.0631764566022843, 0.05701270922844952, 0.04730994575910676, 0.045004105368347015, 0.045684771838400945]","[0.2732427522362406, 0.08984785592206447, 0.06840900478365304, 0.057614724503142305, 0.05984109317384872, 0.045807040298888366, 0.04043523361705363, 0.03899854535015229, 0.034970834881565487, 0.034611459109759095, 0.027960041365567553, 0.016975324331341607]"
7,7,64,128,128,2,0.5,0.001,1e-05,0.9768115942028984,0.9953703703703703,0.9347826086956522,0.9641255605381166,0.6652173913043479,0.0014492753623188,0.0217391304347826,0.3115942028985507,grid-search,8,"[0.11664543241166915, 0.07315575385776658, 0.06107428360682649, 0.05832931719786034, 0.11817586697035064, 0.06338523357258871, 0.06412645242660521, 0.055962573239902176, 0.07232365231604303, 0.0462706178943149, 0.061358175902382635, 0.0578941268219914, 0.04842937373084565, 0.05333382178035278, 0.05947408108980968]","[0.2934213139815256, 0.11180179029409039, 0.08479919923966488, 0.0700606406893425, 0.0657370444805565, 0.0525845447465671, 0.048259823324578496, 0.046887127198954805, 0.037681650586747356, 0.04126178895933806, 0.036427701283604334, 0.035476459051096754, 0.03320957762372544, 0.03287278755794289, 0.018060068340099333]"
7,7,64,128,128,1,0.6,0.001,1e-05,0.982608695652174,0.9954545454545456,0.9521739130434784,0.9733333333333334,0.6652173913043479,0.0014492753623188,0.0159420289855072,0.3173913043478261,grid-search,5,"[0.11608967254272638, 0.09832548274873541, 0.09083674506445487, 0.06339037372097851, 0.0663505745320342, 0.051280739376894556, 0.058597969239016466, 0.05098961347278255, 0.045054980210783795, 0.06338016478977619, 0.04499209900938858, 0.0367415402993524, 0.08937754001705728, 0.04682191007901938, 0.05152905351608821, 0.08348569430512352, 0.04028771417450536]","[0.2981433939390914, 0.10385705716869684, 0.0813900966750225, 0.0712437886330391, 0.062217213201572454, 0.06092388999662178, 0.053088864321436724, 0.049303467138184044, 0.04067674968696098, 0.03960853207732534, 0.03806791691613398, 0.037825248242322564, 0.03026526911880386, 0.033502794880501154, 0.029849583137882673, 0.027141868182848396, 0.020860747474623503]"
7,7,64,128,128,1,0.5,0.001,0.0001,0.9869565217391304,1.0,0.9608695652173912,0.9800443458980044,0.6666666666666666,0.0,0.0130434782608695,0.3202898550724637,grid-search,1,"[0.10438728850716963, 0.06611498868994367, 0.11621544099388978, 0.04693917542224368, 0.06664205097163525, 0.07184822576266761, 0.05737271858229994, 0.04813968598654565, 0.043338366832661755, 0.04299560477860117, 0.0414174644463809, 0.03938351990319251, 0.040753055165017336, 0.03950841221450947, 0.040818530627756186, 0.040768477539621435, 0.04007482492064204]","[0.3691139372056473, 0.09768826830910066, 0.0772433038841164, 0.06325525281365692, 0.06716497784873354, 0.05276145637808919, 0.04554972559832861, 0.040834192220293185, 0.030110481741710254, 0.02699438080660337, 0.02453044125760291, 0.02600267931536923, 0.024824517384331557, 0.02539353823857183, 0.023544431035636654, 0.022484354128161948, 0.02215415151034138]"
7,7,64,128,128,1,0.5,0.001,0.001,0.9869565217391304,0.982532751091703,0.9782608695652174,0.9803921568627452,0.6608695652173913,0.0057971014492753,0.0072463768115942,0.3260869565217391,grid-search,0,"[0.1180843733645116, 0.1104107702580782, 0.0734604145340526, 0.05639757261945842, 0.06409501883750543, 0.056810505383719616, 0.05078438695561953, 0.04932298388582869, 0.08733789818301702, 0.052046506211925775, 0.060341268873367555, 0.04739604124990411, 0.04687075628540837, 0.08947528630811483, 0.05292178809833832, 0.054609802372467056, 0.052745567994395226, 0.047961996372741386]","[0.3618084784385773, 0.11870687173321035, 0.09188396446054532, 0.08138209734476588, 0.06919239681634567, 0.0682751178951309, 0.06400548028633286, 0.06290413506748767, 0.05803926770635084, 0.05582802177856425, 0.05714058467588314, 0.053620072852457894, 0.05491976011264916, 0.04941334678541783, 0.054283787753344144, 0.05374799050734605, 0.05377620382684032, 0.03351265239746824]"
7,7,64,128,128,1,0.6,0.001,0.001,0.9855072463768116,0.9910714285714286,0.9652173913043478,0.9779735682819384,0.663768115942029,0.0028985507246376,0.0115942028985507,0.3217391304347826,grid-search,3,"[0.10786781868395898, 0.07829806593378098, 0.07405995658766, 0.10422790358559443, 0.06371621398004489, 0.06126565693949278, 0.07592722419231461, 0.05085903230027702, 0.04723257770558867, 0.10042939933900459, 0.05041921042646162, 0.07414911602002879, 0.07603536228625438, 0.04254125552222085, 0.04104492150676938, 0.05488239380662353, 0.03458907783407575, 0.037637730999193035, 0.047555742043560036, 0.039416532087414406, 0.04026309629373897, 0.037254717474869]","[0.3335748148766518, 0.12309831278521176, 0.10326098310332255, 0.08748604367505514, 0.08087393457313546, 0.0663965251308247, 0.07175292118565842, 0.06472947806631917, 0.06422302515995015, 0.057824769976018854, 0.060294006579122074, 0.056036752086105195, 0.06060465914273855, 0.04129307411647843, 0.03849136449188288, 0.035536490024242084, 0.03702949952065338, 0.03519617688585928, 0.03779068803353431, 0.03357354773642759, 0.03495929776181583, 0.03210087857530054]"
7,7,64,128,128,2,0.5,0.001,0.0001,0.9797101449275364,0.9954128440366972,0.9434782608695652,0.96875,0.6652173913043479,0.0014492753623188,0.0188405797101449,0.3144927536231884,grid-search,7,"[0.12520424508226988, 0.14225730107715115, 0.06455057225255774, 0.07534928336882821, 0.07219289228893243, 0.06313847767439885, 0.06806922638161968, 0.06093414751394915, 0.04441809263572885, 0.05199110323342328, 0.04789709700465513, 0.04308819277689625, 0.04019872057669533, 0.036218279645440936, 0.057893775104998775, 0.11533364107218894, 0.07254501182148651, 0.03315858141808675, 0.057261740645163886, 0.07064248377308757, 0.057981343348309074, 0.04483906019296951, 0.03853990164367506]","[0.2857619083370082, 0.10492422088894895, 0.08350127496439534, 0.07389872937308514, 0.06253576067975748, 0.05328352076560948, 0.04818978468909719, 0.0469309644187505, 0.04992087037393694, 0.0440926578270783, 0.038196845267999664, 0.03629297313943282, 0.038356586595574824, 0.034049022906784604, 0.034658955264340444, 0.035378644387492386, 0.030800518452739005, 0.03479984749266183, 0.028295870872027177, 0.03172713763876202, 0.029312664690510963, 0.026816120568606782, 0.016225751196040954]"
7,7,64,128,128,2,0.6,0.001,1e-05,0.9753623188405796,0.9819004524886876,0.9434782608695652,0.9623059866962306,0.6608695652173913,0.0057971014492753,0.0188405797101449,0.3144927536231884,grid-search,11,"[0.13512429743647003, 0.07897952507930593, 0.07888250819329794, 0.07483196841069283, 0.0580567509900086, 0.05409380585665648, 0.05880468680959147, 0.060543209395314664, 0.05125117016201003, 0.07849153930482526, 0.07581559091266125, 0.047145662044968985, 0.04679966647549568, 0.053602123294135356, 0.049815292917908385, 0.09043200338633958, 0.058804735331273734, 0.057801729319833565]","[0.315955681980612, 0.11700779778230323, 0.09585084932577477, 0.08034377206901186, 0.06971767268030242, 0.05838243937064123, 0.060544744530393234, 0.05442465539837078, 0.04623789581446066, 0.04259195942593483, 0.04293692739644796, 0.040813261844433374, 0.03613858540893489, 0.03241284486828016, 0.03690825008992473, 0.03080684644661041, 0.029630526903019927, 0.020993452561374158]"
7,7,64,128,128,2,0.6,0.001,0.001,0.982608695652174,0.9954545454545456,0.9521739130434784,0.9733333333333334,0.6652173913043479,0.0014492753623188,0.0159420289855072,0.3173913043478261,grid-search,9,"[0.09678955885390632, 0.07499863864639057, 0.0741380006671907, 0.05663045125308996, 0.07278968422160222, 0.06527093274650188, 0.09500786352295201, 0.06212619329557921, 0.04863721827785365, 0.04582625610055402, 0.04437779286840501, 0.04065335798077285, 0.0399952196316101, 0.03623367362590029, 0.036187575094234675, 0.03852791724971329, 0.03583884221734479, 0.03787140376889744, 0.03456093801501899, 0.03592764651432681, 0.038477101164738625, 0.04771299097979537, 0.0345563678136573, 0.03742139081273658, 0.03347036208530577, 0.03639215549964529, 0.036622528261385665, 0.03537471324969561, 0.031103903985916614, 0.03330578849030038, 0.03391885746924135, 0.03462214831588193, 0.03158083429055599, 0.032092834155684195]","[0.324613716437996, 0.11816057940871504, 0.10457905557191943, 0.09087096634902991, 0.08168691362171605, 0.07661177599239684, 0.0752237314959769, 0.07126135401918682, 0.04722730631826715, 0.04362541851227625, 0.04446859093762836, 0.04360321578305478, 0.042981423787032805, 0.04423396512069494, 0.0419554703384117, 0.04045923872993291, 0.038953147837003745, 0.03981922403430584, 0.035623536173883814, 0.037802950579996254, 0.03911446675996749, 0.040528971503303375, 0.03673302695326703, 0.0390881881918942, 0.03974018364763316, 0.03987602686375842, 0.038458863930971254, 0.035123343396997755, 0.035340063605537195, 0.03717386026657646, 0.03617585543188876, 0.035465626732203465, 0.03534321555860898, 0.030834121422230965]"
7,7,64,128,128,2,0.5,0.001,0.001,0.9884057971014492,1.0,0.9652173913043478,0.9823008849557522,0.6666666666666666,0.0,0.0115942028985507,0.3217391304347826,grid-search,6,"[0.1509487343331178, 0.08506045230210592, 0.12253230412263805, 0.07028609080813251, 0.06254310245052554, 0.0540108405925238, 0.054700354541031025, 0.053016852969542526, 0.059686578380373806, 0.05539144348735229, 0.04557169296551878, 0.11036864017100576, 0.042099418154416174, 0.04823769122445717, 0.07481115064673269, 0.07498867421422918, 0.06601951945161161, 0.0382298602280804, 0.036808071311754294, 0.04269492035307802, 0.03496884621787243, 0.03535048567498915, 0.03617256629215076, 0.03559869474683625, 0.035810010214425765, 0.03481982995976861, 0.034716609619163834, 0.035455019756530724, 0.0341836473865745, 0.03386449765933391, 0.03403669463034767, 0.03462263667666449, 0.034687845167727806, 0.034287684583642446, 0.03448425355227067]","[0.4545139924065504, 0.12281541442376022, 0.09617827784983858, 0.08145497070999179, 0.07130733031590353, 0.06656903274338938, 0.06266496539702578, 0.061567394801003456, 0.055530641357587514, 0.05745312174669954, 0.05453183768909903, 0.05357931369718771, 0.05523961892633547, 0.05444463242527395, 0.05104332621962576, 0.05270222017450004, 0.0502522346809871, 0.033607642299581415, 0.03259409929791888, 0.030468013707975746, 0.03021890475094168, 0.0283918941840966, 0.03179505962467183, 0.030442546066823478, 0.02970362046892804, 0.026581149618083912, 0.025890181429579235, 0.02637446918570755, 0.02753113968145427, 0.027604000436775477, 0.025743007474758134, 0.027287988012272092, 0.02508859711327348, 0.025889522966233352, 0.0245743477025826]"
7,7,64,128,128,3,0.5,0.001,1e-05,0.9855072463768116,0.9910714285714286,0.9652173913043478,0.9779735682819384,0.663768115942029,0.0028985507246376,0.0115942028985507,0.3217391304347826,grid-search,14,"[0.13519212431035554, 0.06366187880317178, 0.09618312086259277, 0.07267902934929737, 0.06736908391161332, 0.07312777263742203, 0.04760598710839613, 0.045729466881871655, 0.0444011004197259, 0.042155435630821816, 0.04005714409439138, 0.040086215055243186, 0.04215071806687868, 0.0496681821736834, 0.043768660940772044, 0.043201215141753214]","[0.40582413152993757, 0.11112467727492147, 0.08439929772181418, 0.0677372615848167, 0.06969600942734121, 0.0585319543799989, 0.03771396150257619, 0.034567512328545776, 0.03236055664748212, 0.031046628364779998, 0.03334579543604234, 0.030477612621134062, 0.02909318592355703, 0.028455915314380992, 0.027141600845903956, 0.026362936716946263]"
7,7,64,128,128,3,0.6,0.001,0.0001,0.9768115942028984,0.9908256880733946,0.9391304347826088,0.9642857142857144,0.663768115942029,0.0028985507246376,0.0202898550724637,0.3130434782608696,grid-search,16,"[0.1677926893417652, 0.06728066623401947, 0.06553226202063692, 0.06091011560951861, 0.06308720340856756, 0.04999140389218855, 0.08042151945902823, 0.0749848590748092, 0.047360788046856984, 0.050152338785268605, 0.05764927688496522, 0.04687193036900284, 0.053350497524101786, 0.04993172196443014, 0.04224477515955909, 0.07099659948159033, 0.04360151431636694, 0.05449515033120779, 0.051528470689962164, 0.04995903503134823]","[0.31491856308543664, 0.11861910332319033, 0.09306813016806509, 0.08201399062320554, 0.06690089902277625, 0.06215585565127855, 0.05832377324929296, 0.06082423836931795, 0.049879989487492005, 0.05401428250029552, 0.048504207618718376, 0.04497779624872285, 0.042569097795852655, 0.044967079285733666, 0.044923026929418006, 0.04058626452512583, 0.040941347137337096, 0.038305953420268976, 0.037201632302352856, 0.024213022607478995]"
